ID,Name,University,Country,Flag
1,Euroavia Zagreb,University of Zagreb,Croatia,🇭🇷
2,Xtra2 UPV,Universitat Politècnica de València,Spain,🇪🇸
3,RhinoJet,INSA Lyon / Ecole Centrale de Lyon,France,🇫🇷
4,ITU ATA TEAM,Istanbul Technical University,Türkiye,🇹🇷
5,Trencalòs Team,Universitat Politècnica de Catalunya,Spain,🇪🇸
6,Icarus PoliTO,Politecnico di Torino,Italy,🇮🇹
7,Team Ancyra,Middle East Technical University,Türkiye,🇹🇷
8,AeroTéc ATLAS,Universidade de Lisboa,Portugal,🇵🇹
9,AeroUD,University of Udine,Italy,🇮🇹
10,LIFT UP,Università degli studi di Padova,Italy,🇮🇹
11,WUT AeroDesign,Warsaw University of Technology,Poland,🇵🇱
12,Fly-Mi EUROAVIA Milano,Politecnico di Milano,Italy,🇮🇹
13,UBI Aeronautics Team,Universidade da Beira Interior,Portugal,🇵🇹
14,Team NOVA,Politehnica University of Bucharest,Romania,🇷🇴
15,CUHAR,Chulalongkorn University,Thailand,🇹🇭
16,TOPHANE AYGÖK,Tophane Vocational and Technical High School,Türkiye,🇹🇷
17,GAZİTAYYARECİLERİ GAZİ UNİVERSİTY,Türkiye,🇹🇷
18,ATLAS - M.ACH,University of Patras,Greece,🇬🇷
19,AkaModell München,Technical University of Munich,Germany,🇩🇪
20,HERMES TEAM,National Technical University of Athens,Greece,🇬🇷
21,THU AIR,Tsinghua University,China,🇨🇳
22,AirOne,University of Bologna,Italy,🇮🇹
23,SUSTech AMA,Southern University of Science and Technology,China,🇨🇳
24,University of Glasgow Aeronautics,University of Glasgow,United Kingdom,🇬🇧
25,Sydney UAV Engineering,University of Sydney,Australia,🇦🇺
26,DIANA,Universidad de Castilla-La Mancha	Spain,🇪🇸
28,The Cajun Jet,University of Louisiana at Lafayette,USA,🇺🇸
29,UVigo Aerotech,Universidade de Vigo,Spain,🇪🇸
30,Lambach Aircraft ,Delft University of Technology,Netherlands,🇳🇱
31,VANTUS AeroDesign Team,University of Seville,Spain,🇪🇸
32,BEOAVIA,University of Belgrade,Serbia,🇷🇸
33,Team Albatross,Tampere University,Finland,🇫🇮
34,ASAT Aeronautics,Aristotle University of Thessaloniki,Greece,🇬🇷
35,Éole,ECE. Ecole d'ingénieurs. Engineering School.,France,🇫🇷
36,JetStream,Wroclaw University of Science and Technology,Poland,🇵🇱
37,CTU AeroLab, Czech technical university in Prague,Czech Republic,🇨🇿
